iter	Logloss
0	0.6845275126
1	0.6761543377
2	0.668580778
3	0.6616679906
4	0.6542282276
5	0.6480996684
6	0.6421619296
7	0.6364034045
8	0.6305898316
9	0.6243774688
10	0.6199069344
11	0.6153508858
12	0.6107806817
13	0.606629949
14	0.6019265812
15	0.5977677486
16	0.5945324491
17	0.5907665988
18	0.5868267436
19	0.5839887371
20	0.5806411606
21	0.5773893707
22	0.5744075262
23	0.5714227309
24	0.5686090666
25	0.5659117463
26	0.5630931384
27	0.5602895283
28	0.5579343035
29	0.5555736815
30	0.5528427646
31	0.5503537644
32	0.5480235874
33	0.5457310655
34	0.5435177328
35	0.541393682
36	0.5392424494
37	0.5369883781
38	0.534900939
39	0.5327274211
40	0.530687345
41	0.5289727882
42	0.5270016119
43	0.5256720145
44	0.5239029829
45	0.5222996382
46	0.5204098535
47	0.518376962
48	0.5168805571
49	0.5152509587
50	0.513650428
51	0.5122039436
52	0.5110077452
53	0.5097613955
54	0.5085667238
55	0.5070227165
56	0.5054892596
57	0.5041004745
58	0.5028309288
59	0.501522355
60	0.5003302621
61	0.4988079713
62	0.4976931773
63	0.4963347987
64	0.4950410946
65	0.4938852926
66	0.4927949392
67	0.4914108969
68	0.4903006105
69	0.4889480522
70	0.4876836982
71	0.4864156449
72	0.4854315129
73	0.4845070176
74	0.4833131628
75	0.4819130748
76	0.4809679322
77	0.4798488275
78	0.4789490465
79	0.4778466973
80	0.4766096577
81	0.4756891695
82	0.4747442622
83	0.4735614708
84	0.4727315347
85	0.4718144036
86	0.4707283354
87	0.4698580113
88	0.4691182722
89	0.4684933504
90	0.4674973466
91	0.4664512771
92	0.4656263617
93	0.4647880563
94	0.463915889
95	0.4630949166
96	0.4621384924
97	0.4612340671
98	0.4605666618
99	0.4595447506
100	0.4587808489
101	0.4580472424
102	0.4572554062
103	0.4563812718
104	0.4554037642
105	0.4547187908
106	0.4539543759
107	0.4532495422
108	0.4524518043
109	0.4516114119
110	0.4508137553
111	0.4501699268
112	0.4495293356
113	0.4489945809
114	0.4483375977
115	0.4477276054
116	0.4469175339
117	0.446171829
118	0.4453729108
119	0.4447284023
120	0.4440554546
121	0.4434660368
122	0.4425092021
